srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
11.12.7.105,5353,224.0.0.251,5353,udp,-,3.7593700885772705,673,0,1,0,0,0,-,1432.1548219897575,0.0,8,0,0.0,0.0,0,0,84.125,0.0,0,0,0.7749686271717706,0.0,1757784966.302402,1757784970.061772,0.5370528697967529,0.0,0.0,0.0,0.0,0,1,0,0,0,0,19,19,0,0,19,0,,
11.12.2.107,5353,224.0.0.251,5353,udp,-,3.800724983215332,984,0,255,0,0,0,-,2071.183796450449,0.0,4,0,0.0,0.0,0,0,246.0,0.0,0,0,1.1535381643227287,0.0,1757784966.32156,1757784970.122285,1.266908327738444,0.0,0.0,0.0,0.0,0,4,0,0,0,0,20,20,0,0,20,0,,
11.12.7.152,5353,224.0.0.251,5353,udp,-,4.6078879833221436,6399,0,255,0,0,0,-,11109.645066304794,0.0,18,0,0.0,0.0,0,0,355.5,0.0,0,0,0.3485197206160389,0.0,1757784966.346781,1757784970.954669,0.27105223431306724,0.0,0.0,0.0,0.0,0,4,0,0,0,0,21,21,0,0,21,0,,
11.12.2.71,5353,224.0.0.251,5353,udp,-,0.2904789447784424,783,0,255,0,0,0,-,21564.385689908624,0.0,2,0,0.0,0.0,0,0,391.5,0.0,0,0,0.0,0.0,1757784966.350246,1757784966.640725,0.2904789447784424,0.0,0.0,0.0,0.0,0,4,0,0,0,0,22,22,0,0,22,0,,
11.12.4.130,5353,224.0.0.251,5353,udp,-,4.209152936935425,1539,0,1,0,0,0,-,2925.0540867645564,0.0,9,0,0.0,0.0,0,0,171.0,0.0,0,0,0.34886288308047314,0.0,1757784966.359249,1757784970.568402,0.5261441171169281,0.0,0.0,0.0,0.0,0,1,0,0,0,0,23,23,0,0,23,0,,
11.12.21.15,5353,224.0.0.251,5353,udp,-,1.9188501834869385,328,0,1,0,0,0,-,1367.4856028789397,0.0,4,0,0.0,0.0,0,0,82.0,0.0,0,0,0.8973664459153603,0.0,1757784966.372362,1757784968.291212,0.6396167278289795,0.0,0.0,0.0,0.0,0,1,0,0,0,0,24,24,0,0,24,0,,
11.12.10.123,5353,224.0.0.251,5353,udp,-,4.567028045654297,6756,0,255,0,0,0,-,11834.391963375121,0.0,19,0,0.0,0.0,0,0,355.57894736842104,0.0,0,0,0.30569128384577743,0.0,1757784966.383646,1757784970.950674,0.2537237803141276,0.0,0.0,0.0,0.0,0,4,0,0,0,0,25,25,0,0,25,0,,
11.12.3.244,5353,224.0.0.251,5353,udp,-,0.0,299,0,1,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,299.0,0.0,0,0,0.0,0.0,1757784966.3904,1757784966.3904,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,26,26,0,0,26,0,,
11.12.22.204,5353,224.0.0.251,5353,udp,-,0.004502058029174805,388,0,1,0,0,0,-,689462.4591431447,0.0,4,0,0.0,0.0,0,0,97.0,0.0,0,0,0.0003446604979231177,0.0,1757784966.401809,1757784966.406311,0.0015006860097249348,0.0,0.0,0.0,0.0,0,1,0,0,0,0,27,27,0,0,27,0,,
11.12.22.111,5353,224.0.0.251,5353,udp,-,0.04797816276550293,1109,0,255,0,0,0,-,184917.46012373592,0.0,11,0,0.0,0.0,0,0,100.81818181818181,0.0,0,0,0.007516408301787203,0.0,1757784966.427944,1757784966.475922,0.004797816276550293,0.0,0.0,0.0,0.0,0,4,0,0,0,0,28,28,0,0,28,0,,
